variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,281.654,44, 0.306, 0.007, 0.014, 281.921 + -0.012 t, 0.001
PREC,mm d$^{-1}$,2.471,44, 0.068, 0.002, 0.003, 2.462 +  0.000 t, 0.643
ELAI,m${-2}$ m${-2}$,0.999,44, 0.0456, 0.00104, 0.00203, 1.02 + -0.000901 t, 0.1
FSDS,W m$^{-2}$,198.191,44, 0.398, 0.009, 0.018, 198.113 +  0.003 t, 0.476
FLDS,W m$^{-2}$,302.423,44, 1.789, 0.041, 0.080, 303.913 + -0.066 t, 0.001
ASA,% reflected,28.956,44, 0.111, 0.003, 0.005, 28.884 +  0.003 t, 0.015
RNET,W m$^{-2}$,72.760,44, 0.459, 0.010, 0.020, 73.025 + -0.012 t, 0.031
FSH,W m$^{-2}$,34.494,44, 0.538, 0.012, 0.024, 34.440 +  0.002 t, 0.716
ET,W m$^{-2}$,37.331,44, 0.605, 0.014, 0.027, 37.505 + -0.008 t, 0.290
FCTR,W m$^{-2}$,17.830,44, 0.536, 0.012, 0.024, 18.119 + -0.013 t, 0.044
FGEV,W m$^{-2}$,12.287,44, 0.301, 0.007, 0.013, 12.056 +  0.010 t, 0.003
FCEV,W m$^{-2}$,7.214,44, 0.160, 0.004, 0.007, 7.331 + -0.005 t, 0.005
QRUNOFF_TO_COUPLER,mm d$^{-1}$,1.119,44, 0.049, 0.001, 0.002, 1.096 +  0.001 t, 0.091
SNOWDP,m,2.280,44, 0.016, 0.000, 0.001, 2.303 + -0.001 t, 0.000
GPP,PgC y$^{-1}$,84.168,44, 2.576, 0.059, 0.115, 84.279 + -0.005 t, 0.875
NPP,PgC y$^{-1}$,34.039,44, 0.806, 0.018, 0.036, 33.656 +  0.017 t, 0.078
NEE,PgC y$^{-1}$,3.603,44, 1.913, 0.043, 0.085, 6.722 + -0.139 t, 0.000
NBP,PgC y$^{-1}$,-4.117,44, 1.921, 0.044, 0.086,-7.253 +  0.139 t, 0.000
BTRANMN,unitless,0.574,44, 0.00514, 0.000117, 0.000229, 0.567 +  0.000329 t, 2.19e-11
TOTVEGC,PgC,428.416,44, 31.565, 0.717, 1.406, 481.997 + -2.381 t, 0.000
TOTECOSYSC,gC/m^2,19240.014,44, 344.844, 7.837, 15.361, 19839.829 + -26.658 t, 0.000
TOTSOMC_1m,PgC,1577.497,44, 11.166, 0.254, 0.497, 1597.262 + -0.878 t, 0.000
ALTMAX,m,32.364,44, 0.300, 0.007, 0.013, 31.846 +  0.023 t, 0.000
FAREA_BURNED,s-1,2.83e-09,44, 2.06e-10, 4.68e-12, 9.17e-12, 2.99e-09 + -7.29e-12 t, 0.0022
DSTFLXT,Pg y$^{-1}$,8.472,44, 0.423, 0.010, 0.019, 8.382 +  0.004 t, 0.441
MEG_isoprene,Tg y$^{-1}$,460.699,44, 50.644, 1.151, 2.256, 498.813 + -1.694 t, 0.004
